videoid,fan_rate
0gTSmlE-osU,0.18181818181818182
0md8BD9Qkpc,0.25
1QFncRclNrc,0.038461538461538464
4FXgnC6iIOY,0.034482758620689655
6pgcM8_4PF0,0.03614457831325301
7sNyTJCrV1Y,0.05128205128205128
AQZ_D_FXcsM,0.04225352112676056
AU_8iW9WTh0,0.024793388429752067
b0ws6SSRIO0,0.0392156862745098
CCFak5wpdyY,0.03571428571428571
czYwMICwfvY,0.1
dN9qzpGwwMU,0.025974025974025976
eaGRdgNdqxk,0.16666666666666666
eCnuMVP7wvo,0.017391304347826087
Evri-ubA3mM,0.14285714285714285
gD2Q7LCbNvE,0.07894736842105263
gu3Jk0SvsDQ,0.06779661016949153
h-1pAz3sXec,0.03296703296703297
h4wXkX2LLqU,0.08695652173913043
HXJCXemDkzw,0.06060606060606061
ilIsxPkaiVM,0.06349206349206349
J013PfK2GV4,0.0196078431372549
JX3tPn-Bic8,0.015625
kjtvTUd4RAA,0.032
KsuMv5Aal2Q,0.12
M-q4gLK3sVQ,0.043478260869565216
m_igYAkVdgs,0.13636363636363635
NeEwfQjyUMc,0.004901960784313725
NWzQN_PviLo,0.14814814814814814
oFAxSJG5XqM,0.11428571428571428
OnT0jD1h7B0,0.05555555555555555
P3kpyy7g9GM,0.15
Q44ggzGUMO4,0.05555555555555555
qVd1BNuICkY,0.11764705882352941
r7pgu1bvdjI,0.039473684210526314
S-em7KRhe8c,0.05128205128205128
t7GrSOr6Nic,0.019230769230769232
td0-QK6HGJE,0.08333333333333333
TSyUQLz1fYI,0.043478260869565216
u9iz2Dy5qjE,0.011235955056179775
uDXSRsO56JY,0.09523809523809523
UM4Y8czzAgQ,0.17391304347826086
uo6SzmeN74Q,0.08823529411764706
v40JVO5ZkKI,0.029411764705882353
vsu0f3CGtmk,0.038461538461538464
VwaH5TqW-kI,0.047619047619047616
wkpXA7Mgq_8,0.04878048780487805
WPl1dwe2dQs,0.0425531914893617
xOdP5WexZqU,0.019230769230769232
Y6sITkZj2AQ,0.1
mean,0.07044933613865388
std,0.0533457065738115
